assembly,ID,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,score,optimal_score,cutoff
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0879.cds.fa.fixed.fa,MMETSP0879,15284,150,10413,21644796,1406.78782,827,8498,4,12090,99.876,804,1434,2049,2907,4590,0.4827,0.02925,0.08886,1.93141,57749,0.00267,0.24084,25200435,20807651,0.82569,16700983,0.66273,4106668,6306,82789,0.00382,9457,0.61875,41,0.00268,3266,0.21369,358,0.02342,0.39602,0.45861,0.45258
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1114.cds.fa.fixed.fa,MMETSP1114,28426,150,13290,23824965,812.24604,4247,8411,5,15296,99.92851,423,975,1479,2175,3933,0.6687,-0.0202,0.049,2.46763,107969,0.00453,0.13662,18959660,15248773,0.80427,10441322,0.55071,4807451,15288,167204,0.00702,19724,0.69387,138,0.00485,13003,0.45743,582,0.02047,0.20959,0.31331,0.47786
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1468.cds.fa.fixed.fa,MMETSP1468,13884,150,15903,11107743,775.6519,1952,3650,9,7514,99.81979,402,870,1320,2031,4473,0.62055,0.04195,0.07296,2.17246,128482,0.01157,0.14069,28000864,18108838,0.64672,10551755,0.37684,7557083,7297,175262,0.01578,9889,0.71226,65,0.00468,5765,0.41523,1127,0.08117,0.11035,0.15773,0.33223
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0100.cds.fa.fixed.fa,MMETSP0100,11177,150,5994,12287994,1094.93666,284,5363,0,9480,99.82014,642,1032,1374,1788,2697,0.47,0.10981,0.03965,1.89863,16785,0.00137,0.2111,27309018,16889245,0.61845,14318116,0.5243,2571129,1635,1382214,0.11248,7068,0.63237,1278,0.11434,3346,0.29936,1645,0.14718,0.18763,0.3095,0.46557
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0493.cds.fa.fixed.fa,MMETSP0493,16191,150,8700,14999967,912.83028,1260,5819,0,11134,99.78303,513,945,1335,1857,2919,0.50783,0.07196,0.08963,1.97437,65696,0.00438,0.17407,16320035,12250461,0.75064,9438763,0.57835,2811698,4649,103659,0.00691,10886,0.67235,56,0.00346,4569,0.28219,5050,0.3119,0.17229,0.17633,0.03797
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0315.cds.fa.fixed.fa,MMETSP0315,8697,150,13350,8004117,896.6623,1183,2910,4,5226,99.80623,504,1023,1515,2214,4377,0.51179,0.11403,0.06969,1.93649,17260,0.00216,0.17157,17770618,11884866,0.66879,8163233,0.45937,3721633,3552,34430,0.0043,5647,0.6493,40,0.0046,1637,0.18823,1013,0.11648,0.15535,0.17596,0.32358
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1142.cds.fa.fixed.fa,MMETSP1142,25922,150,13482,24407307,927.20056,2131,8582,15,17043,99.87362,486,945,1404,2127,4086,0.60874,0.02249,0.07854,1.87308,64605,0.00265,0.1611,25758179,19484291,0.75643,15513994,0.60229,3970297,8592,3331854,0.13651,16923,0.65284,3109,0.11994,7933,0.30603,1578,0.06087,0.21424,0.35884,0.45183
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1346.cds.fa.fixed.fa,MMETSP1346,11044,150,6024,9630300,860.8142,708,3823,0,7763,99.77226,489,879,1200,1566,2364,0.42459,0.11454,0.09463,1.93594,12330,0.00128,0.16984,2966998,1791616,0.60385,1316267,0.44364,475349,153,1267080,0.13157,10694,0.96831,2806,0.25407,9412,0.85223,1462,0.13238,0.13154,0.18068,0.0224
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1360.cds.fa.fixed.fa,MMETSP1360,19020,150,10686,15435903,789.7276,2387,5408,2,10912,99.79626,426,876,1314,1911,3303,0.46703,0.01058,0.10171,1.76385,83448,0.00541,0.15234,15298804,11318601,0.73984,7962422,0.52046,3356179,6459,109197,0.00707,13170,0.69243,37,0.00195,6394,0.33617,3084,0.16215,0.16706,0.17929,0.04999
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1171.cds.fa.fixed.fa,MMETSP1171,9662,150,7170,8014389,817.04544,692,3070,0,6547,99.76385,465,837,1158,1536,2292,0.46007,0.0713,0.05625,1.79244,29340,0.00366,0.16232,19965576,16162757,0.80953,12053873,0.60373,4108884,2308,41679,0.0052,5647,0.58445,21,0.00217,3256,0.33699,498,0.05154,0.30336,0.35533,0.45428
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0995.cds.fa.fixed.fa,MMETSP0995,20095,150,14268,15907038,771.19423,2359,5385,5,11478,99.8853,405,834,1248,1815,3402,0.68694,-0.00065,0.00934,2.36075,84170,0.00529,0.13007,14125885,11998560,0.8494,9674360,0.68487,2324200,9361,102326,0.00643,13460,0.66982,73,0.00363,9581,0.47679,908,0.04519,0.30009,0.37057,0.48949
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0044.cds.fa.fixed.fa,MMETSP0044,331,150,543,67368,102.63444,195,0,0,2,99.97351,213,255,543,543,543,0.56091,0.06371,0.01429,1.9839,568,0.00843,0.04586,18366400,3645862,0.19851,20718,0.00113,3625144,114,193,0.00286,106,0.32024,0,0,0,0,127,0.38369,3.00E-05,8.00E-05,0.141
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1124.cds.fa.fixed.fa,MMETSP1124,29544,150,6183,23761767,790.79437,2286,8899,0,20555,99.80183,474,801,1095,1443,2064,0.57225,0.0564,0.03355,1.95027,61904,0.00261,0.1571,24942897,14837473,0.59486,10887306,0.43649,3950167,3299,1803972,0.07592,20351,0.68884,2037,0.06895,14010,0.47421,1385,0.04688,0.19438,0.26529,0.32675
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0267.cds.fa.fixed.fa,MMETSP0267,73297,150,14265,67849326,907.79692,7520,25884,18,47645,99.93438,510,990,1431,2001,3312,0.65247,0.03721,0.05529,2.09245,266016,0.00392,0.15675,25850118,20623887,0.79783,16413061,0.63493,4210826,25295,8792625,0.12959,53055,0.72384,7959,0.10859,32335,0.44115,2900,0.03957,0.23537,0.40658,0.47927
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1002.cds.fa.fixed.fa,MMETSP1002,16903,150,4656,9208974,517.92055,2620,2180,0,7292,99.77386,300,537,819,1215,2298,0.45117,0.08724,0.06736,1.76254,32383,0.00352,0.1104,3350448,2239618,0.66845,1464776,0.43719,774842,1187,1071949,0.1164,16495,0.97586,726,0.04295,14715,0.87056,983,0.05816,0.10755,0.17237,0.17633
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0915.cds.fa.fixed.fa,MMETSP0915,24378,150,13935,21181787,852.3401,2317,7063,21,15627,99.97197,465,858,1278,1935,3888,0.67852,-0.00714,0.04728,2.51496,91018,0.0043,0.13297,23378918,19898212,0.85112,16345934,0.69917,3552278,10076,1992394,0.09406,16169,0.66326,1926,0.07901,7808,0.32029,1552,0.06366,0.27044,0.40824,0.45672
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0141.cds.fa.fixed.fa,MMETSP0141,19635,150,6276,24881874,1260.68403,738,11769,0,16754,99.82324,789,1263,1644,2046,2760,0.49703,0.00964,0.13291,2.04544,36249,0.00146,0.2271,31714516,22759327,0.71763,18158622,0.57257,4600705,4745,3569255,0.14345,13709,0.69819,3100,0.15788,6743,0.34342,3222,0.16409,0.16909,0.28639,0.33263
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0463.cds.fa.fixed.fa,MMETSP0463,8619,150,13941,4532895,497.79464,1379,923,3,3184,99.20485,288,480,765,1311,3990,0.48963,0.03778,0.08566,1.89637,12005,0.00265,0.10213,43166702,20051475,0.46451,14519944,0.33637,5531531,1284,402218,0.08873,5099,0.5916,937,0.10871,2536,0.29423,312,0.0362,0.08837,0.18504,0.47618
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0649.cds.fa.fixed.fa,MMETSP0649,72775,150,19104,79990539,1086.89425,5133,32482,24,54516,99.86889,621,1116,1557,2151,3525,0.54058,0.07299,0.05731,1.96532,205101,0.00256,0.19703,31785767,23077808,0.72604,18397193,0.57879,4680615,15013,9539911,0.11926,53652,0.73723,7985,0.10972,39499,0.54276,1723,0.02368,0.23873,0.39298,0.4679
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1369.cds.fa.fixed.fa,MMETSP1369,42037,150,8049,38028119,887.17527,4224,14617,0,26910,99.87786,492,972,1407,1926,3105,0.55343,0.0655,0.04131,1.88949,175300,0.00461,0.16686,18104121,13806081,0.76259,10696081,0.59081,3110000,10365,223964,0.00589,28690,0.68249,111,0.00264,19285,0.45876,986,0.02346,0.30227,0.37583,0.49644
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0173.cds.fa.fixed.fa,MMETSP0173,9564,150,18330,10051752,1036.84128,780,3947,7,6819,99.90697,603,1074,1530,2148,3618,0.40996,-0.02518,0.02958,1.77994,41055,0.00408,0.17683,18865944,12985138,0.68828,10750472,0.56983,2234666,3091,48008,0.00478,6165,0.6446,8,0.00084,2755,0.28806,800,0.08365,0.26853,0.30176,0.43959
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1141.cds.fa.fixed.fa,MMETSP1141,23543,150,15132,23955372,1004.89003,1704,8375,43,16080,99.89205,519,1005,1506,2316,4818,0.60912,0.02504,0.07876,1.87921,68410,0.00286,0.17017,22532992,18389698,0.81612,14201325,0.63025,4188373,9861,3273124,0.13663,15259,0.64813,2640,0.11214,6640,0.28204,886,0.03763,0.21079,0.39836,0.51135
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1370.cds.fa.fixed.fa,MMETSP1370,34965,150,14079,27602814,769.51815,4004,10120,1,20533,99.84456,417,849,1245,1716,2727,0.54916,0.06818,0.04626,1.86348,252990,0.00917,0.14925,17973354,9624163,0.53547,7169309,0.39889,2454854,8279,309631,0.01122,26480,0.75733,98,0.0028,20381,0.5829,758,0.02168,0.18584,0.25401,0.42152
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1421.cds.fa.fixed.fa,MMETSP1421,15189,150,12663,19046487,1242.32984,1013,7365,9,11149,99.87081,699,1302,1911,2730,4308,0.48524,0.03105,0.08813,1.92805,64994,0.00341,0.21757,20035424,16565475,0.82681,11907227,0.59431,4658248,7421,87644,0.0046,10296,0.67786,29,0.00191,4816,0.31707,327,0.02153,0.29303,0.36504,0.37558
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0314.cds.fa.fixed.fa,MMETSP0314,13718,150,10536,10323600,728.92696,1864,3300,2,6949,99.86724,366,798,1290,1971,3783,0.61735,0.00682,0.0395,2.17394,38735,0.00375,0.13288,19626138,16762076,0.85407,13321344,0.67876,3440732,6009,55170,0.00534,8437,0.61503,55,0.00401,2998,0.21854,2471,0.18013,0.23026,0.24298,0.04045
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0359.cds.fa.fixed.fa,MMETSP0359,67777,150,16707,76854345,1116.80173,6692,30960,12,47802,99.90109,666,1227,1713,2376,3984,0.62595,0.05178,0.0001,2.13442,128071,0.00167,0.18751,27288912,23929570,0.8769,21033726,0.77078,2895844,30217,457546,0.00595,45316,0.6686,845,0.01247,18017,0.26583,3103,0.04578,0.43592,0.51701,0.44127
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1450.cds.fa.fixed.fa,MMETSP1450,31672,150,10905,21894747,662.18038,5311,6917,1,14851,99.92113,342,771,1236,1869,3570,0.63124,0.01767,0.03497,2.57674,121259,0.00554,0.11598,24343782,19616013,0.80579,13269581,0.54509,6346432,17463,162361,0.00742,22273,0.70324,104,0.00328,9584,0.3026,1842,0.05816,0.16166,0.24628,0.4026
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0147.cds.fa.fixed.fa,MMETSP0147,30135,150,9432,23083146,744.69756,3697,7500,0,16697,99.88441,393,798,1215,1797,3432,0.66075,0.01294,0.03759,2.39282,174152,0.00754,0.12991,19511845,14279475,0.73184,10449802,0.53556,3829673,12939,193995,0.0084,21206,0.7037,114,0.00378,14652,0.48621,2183,0.07244,0.20474,0.22473,0.27559
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1018.cds.fa.fixed.fa,MMETSP1018,312,150,1080,85911,215.88462,108,1,0,31,99.13148,222,282,396,699,1080,0.39276,0.15767,0.15153,1.49787,260,0.00303,0.05306,7921824,210772,0.02661,88615,0.01119,122157,15,2357,0.02744,230,0.73718,2,0.00641,129,0.41346,58,0.1859,0.00191,0.00426,0.5551
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1365.cds.fa.fixed.fa,MMETSP1365,32105,150,10215,26147472,790.3339,4480,9377,1,18616,99.89836,444,897,1314,1875,3357,0.69239,-0.00326,-0.00712,2.37049,117597,0.0045,0.13158,25114514,21792508,0.86773,15274376,0.60819,6518132,20185,175879,0.00673,21748,0.6774,134,0.00417,10211,0.31805,1645,0.05124,0.22459,0.31711,0.43111
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0313.cds.fa.fixed.fa,MMETSP0313,8719,150,13782,8533263,956.99105,1088,3210,3,5308,99.85669,522,1119,1638,2358,4020,0.50517,0.05144,0.07218,2.06516,21270,0.00249,0.17909,20159435,15234297,0.75569,11655878,0.57818,3578419,3486,32630,0.00382,5462,0.62645,16,0.00184,3037,0.34832,241,0.02764,0.26401,0.37153,0.47977
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1096.cds.fa.fixed.fa,MMETSP1096,43945,150,9360,33795219,757.48809,2909,10651,0,28747,99.73369,423,717,1026,1455,2559,0.61286,0.02483,0.02588,2.15875,100673,0.00298,0.14507,30416576,16705535,0.54922,11089961,0.3646,5615574,6696,3700799,0.10951,32027,0.7288,5122,0.11655,18118,0.41229,9858,0.22433,0.08249,0.11248,0.03403
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1439.cds.fa.fixed.fa,MMETSP1439,38542,150,19752,24991298,619.67573,6348,7896,5,19130,99.89822,336,726,1062,1503,2628,0.62931,0.02118,0.05744,1.96653,163466,0.00654,0.12228,26306769,20735997,0.78824,14846312,0.56435,5889685,15893,238626,0.00955,27915,0.72427,217,0.00563,18762,0.48679,1576,0.04089,0.23815,0.31292,0.35339
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0964.cds.fa.fixed.fa,MMETSP0964,13165,150,7764,14888411,1112.30581,1407,5965,0,8808,99.8997,666,1269,1806,2565,3897,0.63143,-0.01384,0.04822,2.30952,47552,0.00319,0.18614,28722178,24632516,0.85761,19634651,0.68361,4997865,4639,51225,0.00344,8245,0.62628,22,0.00167,3986,0.30277,2007,0.15245,0.2671,0.28327,0.29056
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0321.cds.fa.fixed.fa,MMETSP0321,22916,150,28548,27407196,1184.15836,1554,10359,48,17485,99.83933,657,1173,1710,2526,4671,0.45695,0.1015,0.0608,2.07884,63097,0.0023,0.20972,30908498,21642095,0.7002,17725799,0.57349,3916296,4199,3791536,0.13834,17048,0.74393,3455,0.15077,8037,0.35072,2213,0.09657,0.19174,0.30477,0.29621
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0014.cds.fa.fixed.fa,MMETSP0014,43045,51,15972,72448464,1675.14411,2159,28196,68,37008,99.90026,975,1665,2313,3165,4977,0.48482,0.0348,0.09925,1.88968,391213,0.0054,0.26683,16536904,13067665,0.79021,10797946,0.65296,2269719,6000,14573167,0.20115,36872,0.85659,9010,0.20932,23258,0.54032,2270,0.05274,0.18724,0.40373,0.37377
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0810.cds.fa.fixed.fa,MMETSP0810,18814,150,14373,20194040,1060.56819,1377,7524,22,12907,99.83244,555,1113,1632,2379,4338,0.57748,0.03582,0.06869,1.86635,47385,0.00235,0.18517,27015178,15387765,0.5696,12354711,0.45732,3033054,5781,3704677,0.18345,14325,0.7614,3100,0.16477,10504,0.55831,551,0.02929,0.14054,0.30973,0.54897
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1416.cds.fa.fixed.fa,MMETSP1416,15235,150,15639,20472924,1332.55412,983,7772,12,11460,99.8831,750,1380,2025,2958,4881,0.4852,0.02851,0.08806,1.93168,62790,0.00307,0.22825,22437943,18999700,0.84677,14153747,0.6308,4845953,5725,87375,0.00427,9988,0.6556,38,0.00249,4181,0.27443,243,0.01595,0.3355,0.40164,0.4455
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0318.cds.fa.fixed.fa,MMETSP0318,15178,150,9639,17688996,1160.37166,440,7492,0,12721,99.85872,660,1104,1503,2046,3195,0.50343,0.01826,0.0563,1.98691,34980,0.00198,0.21526,31676754,22875975,0.72217,18266094,0.57664,4609881,2183,2254810,0.12747,10130,0.66741,2110,0.13902,6997,0.461,276,0.01818,0.26488,0.39607,0.48879
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1334.cds.fa.fixed.fa,MMETSP1334,26329,150,9654,20189736,741.61244,3824,7081,0,14034,99.81621,390,864,1293,1857,3339,0.64167,0.00385,0.01065,2.40771,118701,0.00588,0.13317,22179510,15106372,0.6811,10370595,0.46758,4735777,13758,167860,0.00831,18183,0.69061,128,0.00486,11576,0.43967,1267,0.04812,0.16191,0.24778,0.4443
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1156.cds.fa.fixed.fa,MMETSP1156,38999,150,13062,38068164,963.09323,2927,14351,6,28228,99.9131,552,957,1368,1941,3363,0.69824,0.00048,-0.00298,2.37658,141735,0.00372,0.15151,23364557,20584738,0.88102,17155354,0.73425,3429384,18481,4042794,0.1062,29035,0.74451,4213,0.10803,16189,0.41511,2022,0.05185,0.28462,0.4334,0.45085
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0361.cds.fa.fixed.fa,MMETSP0361,70114,150,9090,74661348,1048.13678,6719,30604,0,49024,99.90029,618,1152,1599,2184,3441,0.6248,0.05258,-0.00075,2.13167,133208,0.00178,0.18107,20799534,17670387,0.84956,15136234,0.72772,2534153,12009,458535,0.00614,47955,0.68396,928,0.01324,21299,0.30378,2913,0.04155,0.3999,0.47349,0.4602
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1012.cds.fa.fixed.fa,MMETSP1012,22648,150,10614,20382978,883.35535,2159,7244,1,14174,99.80589,462,933,1392,2049,3630,0.44156,0.07018,0.07805,1.76564,26914,0.00132,0.16538,26679164,18321792,0.68675,15324489,0.5744,2997303,2583,149387,0.00733,15801,0.69768,197,0.0087,7136,0.31508,5363,0.2368,0.21277,0.22884,0.03777
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0956.cds.fa.fixed.fa,MMETSP0956,9260,150,6708,9917133,1066.93737,214,4171,0,7950,99.79777,627,978,1299,1731,2778,0.42606,0.11125,0.08234,1.86602,16690,0.00168,0.20321,27615658,17171718,0.62181,13518131,0.48951,3653587,1091,1077302,0.10863,6028,0.65097,1188,0.12829,3366,0.3635,990,0.10691,0.19003,0.28204,0.36883
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0800.cds.fa.fixed.fa,MMETSP0800,26217,150,7209,24450663,919.84049,1927,9318,0,19040,99.7891,534,915,1302,1797,2859,0.46257,0.04646,0.09019,1.83687,85327,0.00349,0.1722,24127704,16923447,0.70141,13108745,0.54331,3814702,6745,2637997,0.10789,19744,0.7531,3100,0.11824,9453,0.36057,7034,0.2683,0.14541,0.18645,0.03824
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1064.cds.fa.fixed.fa,MMETSP1064,12400,150,15363,14332173,1143.42266,877,5555,12,9082,99.84319,636,1170,1680,2427,4701,0.44502,0.04464,0.06748,2.03524,46321,0.00323,0.20702,27326036,20834830,0.76245,15815599,0.57877,5019231,4010,88023,0.00614,8174,0.65919,63,0.00508,3021,0.24363,1538,0.12403,0.25316,0.28049,0.27208
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1347.cds.fa.fixed.fa,MMETSP1347,7979,150,4884,5353092,662.00852,405,1336,0,5560,99.64174,420,639,825,1029,1392,0.42261,0.11651,0.10482,1.93705,12606,0.00235,0.13857,10755056,5852812,0.54419,4073395,0.37874,1779417,600,21527,0.00402,5102,0.63943,8,0.001,1258,0.15766,4314,0.54067,0.06577,0.06648,0.0172
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1019.cds.fa.fixed.fa,MMETSP1019,605,150,3147,142554,138.12893,346,2,0,31,99.10971,225,312,591,3147,3147,0.46948,0.08749,0.14408,1.8562,880,0.00617,0.04643,4249893,126079,0.02967,63192,0.01487,62887,32,4112,0.02885,501,0.8281,3,0.00496,400,0.66116,102,0.1686,0.00333,0.00717,0.13798
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1325.cds.fa.fixed.fa,MMETSP1325,21129,150,8253,9467460,405.04643,5254,1804,0,6131,99.83363,258,453,771,1356,5616,0.61097,0.04006,0.07298,2.21557,60059,0.00634,0.0895,3819747,2636459,0.69022,1812607,0.47454,823852,1813,863993,0.09126,20293,0.96043,514,0.02433,17834,0.84405,1121,0.05306,0.12472,0.21,0.21952
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0745.cds.fa.fixed.fa,MMETSP0745,18520,150,7290,18914808,1016.44228,518,7529,0,15052,99.77429,573,936,1308,1788,2736,0.47984,0.04715,0.07729,1.82432,54326,0.00287,0.19236,21776674,16569093,0.76086,13619375,0.62541,2949718,3148,1690315,0.08936,13540,0.7311,1897,0.10243,5759,0.31096,8310,0.4487,0.13148,0.15767,0.02878
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1384.cds.fa.fixed.fa,MMETSP1384,30681,150,11049,25619454,806.56302,5030,9265,2,15874,99.85885,417,1023,1533,2238,3909,0.47967,0.05618,0.13234,2.28036,80270,0.00313,0.15002,25183105,19638659,0.77983,14805913,0.58793,4832746,18074,133495,0.00521,21201,0.69101,131,0.00427,7342,0.2393,972,0.03168,0.21707,0.33523,0.47804
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1391.cds.fa.fixed.fa,MMETSP1391,15753,150,9237,14917980,929.10436,1621,5507,0,9788,99.83576,489,1029,1536,2220,3765,0.65215,0.03588,0.07581,2.05703,83883,0.00562,0.14942,19950443,13696092,0.68651,10111313,0.50682,3584779,4889,108894,0.0073,10920,0.6932,34,0.00216,7813,0.49597,360,0.02285,0.22994,0.29645,0.46547
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0041.cds.fa.fixed.fa,MMETSP0041,25311,150,20133,28802460,1128.9437,1306,11409,39,19907,99.84659,633,1083,1524,2148,4038,0.53758,0.03668,0.12229,1.96053,87180,0.00303,0.20344,37158309,28534543,0.76792,22445707,0.60406,6088836,7493,3469576,0.12046,17749,0.70124,3335,0.13176,10688,0.42227,832,0.03287,0.25637,0.38846,0.46773
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1115.cds.fa.fixed.fa,MMETSP1115,43411,150,15066,48221891,1101.4142,2343,19144,32,33708,99.88558,615,1080,1530,2094,3669,0.57417,0.04671,0.03326,1.95236,107022,0.00222,0.19859,27695840,22406262,0.80901,18253906,0.65908,4152356,13977,6035965,0.12517,29854,0.68771,4854,0.11181,18460,0.42524,1317,0.03034,0.27566,0.4409,0.43798
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0986.cds.fa.fixed.fa,MMETSP0986,35629,150,20331,34166100,944.0572,3051,11864,54,23614,99.88151,504,957,1413,2151,4536,0.64322,0.02662,0.07465,2.08753,107541,0.00315,0.15993,28816118,22218664,0.77105,17272695,0.59941,4945969,13916,4040252,0.11825,24839,0.69716,3355,0.09416,16958,0.47596,1782,0.05002,0.22388,0.36679,0.47547
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1018.cds.fa.fixed.fa,MMETSP1018,312,150,1080,85911,215.88462,108,1,0,31,99.13148,222,282,396,699,1080,0.39276,0.15767,0.15153,1.49787,260,0.00303,0.05306,3187992,95735,0.03003,31423,0.00986,64312,10,14996,0.17455,279,0.89423,61,0.19551,207,0.66346,25,0.08013,0.00099,0.0036,0.31035
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0899.cds.fa.fixed.fa,MMETSP0899,15076,150,13134,19532835,1284.17611,986,7620,3,11316,99.84487,732,1350,1941,2760,4365,0.48323,0.03275,0.08551,1.92711,53617,0.00274,0.22406,24593790,19438393,0.79038,14942012,0.60755,4496381,6453,79906,0.00409,9779,0.64865,51,0.00338,3495,0.23183,1738,0.11528,0.28165,0.30367,0.2849
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0415.cds.fa.fixed.fa,MMETSP0415,19750,150,9342,13604151,673.59949,1722,3835,0,11732,99.77711,381,648,936,1362,2433,0.57598,0.0531,0.07867,1.94815,63744,0.00469,0.12922,17671219,9533434,0.53949,6678388,0.37792,2855046,2909,1339069,0.09843,14791,0.74891,2032,0.10289,9978,0.50522,2082,0.10542,0.12422,0.18285,0.35128
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1059.cds.fa.fixed.fa,MMETSP1059,11432,150,24237,17328633,1506.51461,611,6586,24,9152,99.87049,852,1512,2205,3198,5358,0.48071,0.06405,0.071,1.74632,35660,0.00206,0.25126,35886630,28858277,0.80415,22775459,0.63465,6082818,4558,53864,0.00311,6749,0.59036,18,0.00157,2597,0.22717,330,0.02887,0.38393,0.42714,0.44718
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0595.cds.fa.fixed.fa,MMETSP0595,16970,150,13083,20208021,1176.33925,1412,7710,9,12054,99.839,660,1257,1836,2658,4614,0.60663,-0.00652,-0.00113,2.23236,83131,0.00411,0.2027,20738219,14598277,0.70393,11530383,0.556,3067894,5035,102895,0.00509,10726,0.63206,77,0.00454,5858,0.3452,609,0.03589,0.2846,0.33911,0.50674
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP1405.cds.fa.fixed.fa,MMETSP1405,15435,150,15609,18520257,1187.54266,1092,7248,2,11184,99.85517,666,1257,1815,2577,4182,0.48474,0.03221,0.08593,1.92743,66909,0.00361,0.21074,19195145,15143528,0.78892,10470580,0.54548,4672948,5795,96229,0.0052,10588,0.68597,39,0.00253,4998,0.32381,814,0.05274,0.24625,0.29335,0.35784
/mnt/research/ged/lisa/mmetsp/imicrobe/cds/MMETSP0724.cds.fa.fixed.fa,MMETSP0724,23533,150,18966,35542611,1505.40747,663,14573,16,20704,99.87845,855,1425,1965,2745,4395,0.50827,0.00906,0.09504,1.96499,63051,0.00177,0.25504,24546611,19790753,0.80625,16996881,0.69243,2793872,5824,5546362,0.15605,17157,0.72906,4099,0.17418,11021,0.46832,725,0.03081,0.28785,0.4778,0.43525
