Sample	avg_sequence_length	per_base_sequence_content	basic_statistics	per_base_n_content	adapter_content	sequence_duplication_levels	overrepresented_sequences	File type	Sequences flagged as poor quality	total_deduplicated_percentage	per_sequence_gc_content	%GC	kmer_content	per_base_sequence_quality	sequence_length_distribution	Encoding	Total Sequences	Filename	per_sequence_quality_scores	Sequence length	per_tile_sequence_quality
SRR1296723.trim_1P	49.99828733185288	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	33.66352124188373	pass	46.0	fail	pass	warn	Sanger / Illumina 1.9	30908498.0	SRR1296723.trim_1P.fq	pass	26-50	pass
SRR1296724.trim_1P	49.998872546822675	warn	pass	pass	pass	fail	pass	Conventional base calls	0.0	39.446652776875	pass	59.0	fail	pass	warn	Sanger / Illumina 1.9	38043265.0	SRR1296724.trim_1P.fq	pass	30-50	pass
SRR1296725.trim_1P	49.9990680048406	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	49.14537888072588	pass	40.0	fail	pass	warn	Sanger / Illumina 1.9	19963623.0	SRR1296725.trim_1P.fq	pass	26-50	pass
SRR1296726.trim_1P	49.9989682652037	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	39.96478915380896	pass	39.0	fail	pass	warn	Sanger / Illumina 1.9	40496841.0	SRR1296726.trim_1P.fq	pass	30-50	pass
SRR1296727.trim_1P	49.998769393543725	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	46.509873562037534	pass	51.0	fail	pass	warn	Sanger / Illumina 1.9	29999030.0	SRR1296727.trim_1P.fq	pass	26-50	pass
SRR1296728.trim_1P	49.99906288713188	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	49.22766923068736	pass	49.0	fail	pass	warn	Sanger / Illumina 1.9	19508856.0	SRR1296728.trim_1P.fq	pass	26-50	pass
SRR1296729.trim_1P	49.999070756254014	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	45.845280345997594	pass	49.0	fail	pass	warn	Sanger / Illumina 1.9	21423873.0	SRR1296729.trim_1P.fq	pass	26-50	pass
SRR1296730.trim_1P	49.999184763869465	warn	pass	pass	pass	warn	pass	Conventional base calls	0.0	58.067319241024165	pass	62.0	fail	pass	warn	Sanger / Illumina 1.9	21809632.0	SRR1296730.trim_1P.fq	pass	27-50	pass
SRR1296731.trim_1P	49.999107231498805	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	58.28078290929236	pass	61.0	fail	pass	warn	Sanger / Illumina 1.9	20286334.0	SRR1296731.trim_1P.fq	pass	27-50	pass
SRR1296732.trim_1P	49.999104788204995	warn	pass	pass	pass	warn	pass	Conventional base calls	0.0	58.18558438298198	pass	62.0	fail	pass	warn	Sanger / Illumina 1.9	19989683.0	SRR1296732.trim_1P.fq	pass	27-50	pass
SRR1296733.trim_1P	49.99916406050537	warn	pass	pass	pass	warn	pass	Conventional base calls	0.0	57.58843421639516	pass	62.0	fail	pass	warn	Sanger / Illumina 1.9	19513374.0	SRR1296733.trim_1P.fq	pass	27-50	pass
SRR1296734.trim_1P	49.998760786421045	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	67.893184385741	fail	35.0	fail	pass	warn	Sanger / Illumina 1.9	26544254.0	SRR1296734.trim_1P.fq	pass	34-50	pass
SRR1296735.trim_1P	49.99847382010293	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	41.033773706739616	pass	50.0	fail	pass	warn	Sanger / Illumina 1.9	38541328.0	SRR1296735.trim_1P.fq	pass	34-50	warn
SRR1296736.trim_1P	49.99894714674911	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	41.66773404827748	pass	53.0	fail	pass	warn	Sanger / Illumina 1.9	33909759.0	SRR1296736.trim_1P.fq	pass	30-50	pass
SRR1296737.trim_1P	49.998941414167604	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	42.09158656972845	pass	53.0	fail	pass	warn	Sanger / Illumina 1.9	31783913.0	SRR1296737.trim_1P.fq	pass	30-50	pass
SRR1296738.trim_1P	49.999633816478514	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	72.15713396004239	pass	63.0	fail	pass	warn	Sanger / Illumina 1.9	23433605.0	SRR1296738.trim_1P.fq	pass	32-50	pass
SRR1296739.trim_1P	49.99817642726435	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	35.22033859731621	pass	62.0	fail	pass	warn	Sanger / Illumina 1.9	25236723.0	SRR1296739.trim_1P.fq	pass	26-50	pass
SRR1296740.trim_1P	49.998204719769596	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	37.19226705024623	pass	60.0	fail	pass	warn	Sanger / Illumina 1.9	41713265.0	SRR1296740.trim_1P.fq	pass	26-50	pass
SRR1296741.trim_1P	49.99963417260544	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	65.44521113879011	pass	57.0	fail	pass	warn	Sanger / Illumina 1.9	21540213.0	SRR1296741.trim_1P.fq	pass	32-50	pass
SRR1296742.trim_1P	49.99862816713713	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	41.35520605171295	pass	47.0	fail	pass	warn	Sanger / Illumina 1.9	26739409.0	SRR1296742.trim_1P.fq	pass	27-50	pass
SRR1296743.trim_1P	49.99872919473835	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	79.65197166667168	pass	52.0	fail	pass	warn	Sanger / Illumina 1.9	27937404.0	SRR1296743.trim_1P.fq	pass	26-50	pass
SRR1296744.trim_1P	49.99906230003691	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	76.58051456451807	pass	53.0	fail	pass	warn	Sanger / Illumina 1.9	22013438.0	SRR1296744.trim_1P.fq	pass	26-50	pass
SRR1296745.trim_1P	49.99976458567191	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	48.76303244160157	pass	49.0	fail	pass	warn	Sanger / Illumina 1.9	17670972.0	SRR1296745.trim_1P.fq	pass	25-50	warn
SRR1296746.trim_1P	49.99981313095871	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	57.39346953362943	pass	52.0	fail	pass	warn	Sanger / Illumina 1.9	34912150.0	SRR1296746.trim_1P.fq	pass	49-50	warn
SRR1296747.trim_1P	49.99979019420014	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	46.04811695696313	pass	50.0	fail	pass	warn	Sanger / Illumina 1.9	19341696.0	SRR1296747.trim_1P.fq	pass	49-50	pass
SRR1296748.trim_1P	49.999907171417384	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	77.3021087932985	pass	53.0	fail	pass	warn	Sanger / Illumina 1.9	26748227.0	SRR1296748.trim_1P.fq	pass	25-50	warn
SRR1296749.trim_1P	49.99990820709569	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	77.17808718901105	pass	53.0	fail	pass	warn	Sanger / Illumina 1.9	26788563.0	SRR1296749.trim_1P.fq	pass	25-50	warn
SRR1296750.trim_1P	49.999905934617374	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	76.99691090039747	pass	53.0	fail	pass	warn	Sanger / Illumina 1.9	26864293.0	SRR1296750.trim_1P.fq	pass	25-50	warn
SRR1296751.trim_1P	49.998248149808504	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	63.34421642331848	warn	55.0	fail	pass	warn	Sanger / Illumina 1.9	29710303.0	SRR1296751.trim_1P.fq	pass	26-50	pass
SRR1296752.trim_1P	49.99982414006776	warn	pass	pass	pass	pass	pass	Conventional base calls	0.0	72.844599849355	pass	63.0	fail	pass	warn	Sanger / Illumina 1.9	25850118.0	SRR1296752.trim_1P.fq	pass	42-50	warn
SRR1296753.trim_1P	49.99981481926659	warn	pass	pass	pass	warn	pass	Conventional base calls	0.0	68.69294483575558	pass	63.0	fail	pass	warn	Sanger / Illumina 1.9	34193622.0	SRR1296753.trim_1P.fq	pass	42-50	warn
SRR1296754.trim_1P	49.99981933276071	warn	pass	pass	pass	pass	pass	Conventional base calls	0.0	70.70847148981912	pass	63.0	fail	pass	warn	Sanger / Illumina 1.9	29280350.0	SRR1296754.trim_1P.fq	pass	43-50	warn
SRR1296755.trim_1P	49.9990800093889	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	39.51189190539501	pass	51.0	fail	pass	warn	Sanger / Illumina 1.9	40477587.0	SRR1296755.trim_1P.fq	pass	31-50	warn
SRR1296756.trim_1P	49.99863524661921	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	33.6150851188732	pass	35.0	warn	pass	warn	Sanger / Illumina 1.9	26541059.0	SRR1296756.trim_1P.fq	pass	27-50	pass
SRR1296757.trim_1P	49.99863719065281	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	61.74468605817578	pass	54.0	fail	pass	warn	Sanger / Illumina 1.9	26021248.0	SRR1296757.trim_1P.fq	pass	25-50	pass
SRR1296758.trim_1P	49.998547991564706	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	59.81108746386392	pass	54.0	fail	pass	warn	Sanger / Illumina 1.9	28537713.0	SRR1296758.trim_1P.fq	pass	25-50	pass
SRR1296759.trim_1P	49.9986466356981	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	69.09580261126791	pass	58.0	fail	pass	warn	Sanger / Illumina 1.9	36140306.0	SRR1296759.trim_1P.fq	pass	42-50	fail
SRR1296760.trim_1P	49.99865900633981	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	67.57512938138804	pass	58.0	fail	pass	warn	Sanger / Illumina 1.9	36123959.0	SRR1296760.trim_1P.fq	pass	33-50	fail
SRR1296761.trim_1P	49.998642983275126	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	71.14243462749327	pass	58.0	fail	pass	warn	Sanger / Illumina 1.9	30809495.0	SRR1296761.trim_1P.fq	pass	33-50	fail
SRR1296762.trim_1P	49.99895691311659	fail	pass	pass	pass	fail	warn	Conventional base calls	0.0	23.174216842689127	pass	41.0	fail	pass	warn	Sanger / Illumina 1.9	37200161.0	SRR1296762.trim_1P.fq	pass	30-50	pass
SRR1296763.trim_1P	49.99879880307767	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	33.3500528253245	pass	61.0	fail	pass	warn	Sanger / Illumina 1.9	32003079.0	SRR1296763.trim_1P.fq	pass	34-50	pass
SRR1296764.trim_1P	49.99880079564672	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	54.618722454276394	warn	56.0	fail	pass	warn	Sanger / Illumina 1.9	44469485.0	SRR1296764.trim_1P.fq	pass	30-50	warn
SRR1296765.trim_1P	49.998657701748485	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	63.9796111384509	pass	60.0	fail	pass	warn	Sanger / Illumina 1.9	42632105.0	SRR1296765.trim_1P.fq	pass	33-50	fail
SRR1296766.trim_1P	49.99867534597216	warn	pass	pass	pass	pass	pass	Conventional base calls	0.0	76.26238736417291	pass	60.0	fail	pass	warn	Sanger / Illumina 1.9	33816377.0	SRR1296766.trim_1P.fq	pass	26-50	pass
SRR1296767.trim_1P	49.99996538850318	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	40.51822074701018	pass	48.0	fail	pass	warn	Sanger / Illumina 1.9	28054262.0	SRR1296767.trim_1P.fq	pass	46-50	warn
SRR1296768.trim_1P	49.99986651948027	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	50.529424596957426	pass	54.0	fail	pass	warn	Sanger / Illumina 1.9	27015178.0	SRR1296768.trim_1P.fq	pass	39-50	warn
SRR1296769.trim_1P	49.99919810309289	fail	pass	pass	pass	fail	warn	Conventional base calls	0.0	31.695627891205604	pass	55.0	fail	pass	warn	Sanger / Illumina 1.9	20169675.0	SRR1296769.trim_1P.fq	pass	28-50	pass
SRR1296770.trim_1P	49.99907273434973	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	29.859247624883466	pass	44.0	fail	pass	warn	Sanger / Illumina 1.9	43166702.0	SRR1296770.trim_1P.fq	pass	31-50	warn
SRR1296771.trim_1P	49.99878736840579	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	64.82343090213145	pass	48.0	fail	pass	warn	Sanger / Illumina 1.9	28696267.0	SRR1296771.trim_1P.fq	pass	32-50	warn
SRR1296772.trim_1P	49.99966360883534	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	30.590415330166998	pass	42.0	fail	pass	warn	Sanger / Illumina 1.9	32078726.0	SRR1296772.trim_1P.fq	pass	32-50	pass
SRR1296773.trim_1P	49.99970083437811	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	37.37759276248154	pass	43.0	fail	pass	warn	Sanger / Illumina 1.9	24865825.0	SRR1296773.trim_1P.fq	pass	32-50	pass
SRR1296774.trim_1P	49.99967329132303	fail	pass	pass	pass	fail	warn	Conventional base calls	0.0	33.62479166626691	pass	48.0	fail	pass	warn	Sanger / Illumina 1.9	20195362.0	SRR1296774.trim_1P.fq	pass	28-50	pass
SRR1296775.trim_1P	49.99852154936828	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	42.6999165950398	pass	52.0	fail	pass	warn	Sanger / Illumina 1.9	13837459.0	SRR1296775.trim_1P.fq	pass	25-50	warn
SRR1296776.trim_1P	49.99853232232697	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	39.13677314611616	pass	52.0	fail	pass	warn	Sanger / Illumina 1.9	19106375.0	SRR1296776.trim_1P.fq	pass	25-50	warn
SRR1296777.trim_1P	49.998650839088405	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	42.634922600220456	pass	52.0	fail	pass	warn	Sanger / Illumina 1.9	16146332.0	SRR1296777.trim_1P.fq	pass	25-50	warn
SRR1296778.trim_1P	49.99712180325348	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	51.794954218045795	pass	60.0	fail	pass	warn	Sanger / Illumina 1.9	12101327.0	SRR1296778.trim_1P.fq	pass	42-50	pass
SRR1296779.trim_1P	49.99763627986109	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	55.544038958041696	pass	60.0	fail	pass	warn	Sanger / Illumina 1.9	13505829.0	SRR1296779.trim_1P.fq	pass	25-50	pass
SRR1296780.trim_1P	49.99708602550837	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	48.02025432538259	pass	60.0	fail	pass	warn	Sanger / Illumina 1.9	21134708.0	SRR1296780.trim_1P.fq	pass	42-50	pass
SRR1296781.trim_1P	49.99796316899267	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	48.483207865257455	pass	61.0	fail	pass	warn	Sanger / Illumina 1.9	19268167.0	SRR1296781.trim_1P.fq	pass	42-50	pass
SRR1296782.trim_1P	49.99983947377191	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	42.38654730810635	pass	59.0	fail	pass	warn	Sanger / Illumina 1.9	25777719.0	SRR1296782.trim_1P.fq	pass	36-50	warn
SRR1296783.trim_1P	49.999965282667084	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	29.913129202870653	pass	36.0	fail	pass	warn	Sanger / Illumina 1.9	27795914.0	SRR1296783.trim_1P.fq	pass	46-50	warn
SRR1296784.trim_1P	49.99974626751053	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	74.72673023224344	pass	63.0	fail	pass	warn	Sanger / Illumina 1.9	22827191.0	SRR1296784.trim_1P.fq	pass	29-50	warn
SRR1296785.trim_1P	49.99972836666929	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	76.0967248590523	pass	63.0	fail	pass	warn	Sanger / Illumina 1.9	17865996.0	SRR1296785.trim_1P.fq	pass	30-50	pass
SRR1296786.trim_1P	99.99679129750574	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	75.21293233230386	pass	60.0	fail	pass	warn	Sanger / Illumina 1.9	27288912.0	SRR1296786.trim_1P.fq	pass	25-100	pass
SRR1296787.trim_1P	49.999994647772624	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	65.53144325954015	pass	63.0	fail	pass	warn	Sanger / Illumina 1.9	31388801.0	SRR1296787.trim_1P.fq	pass	49-50	pass
SRR1296788.trim_1P	49.9997074277518	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	74.29724981008236	pass	64.0	fail	pass	warn	Sanger / Illumina 1.9	23358333.0	SRR1296788.trim_1P.fq	pass	25-50	pass
SRR1296789.trim_1P	49.9979489861234	warn	pass	pass	pass	warn	pass	Conventional base calls	0.0	50.453871602766874	pass	64.0	fail	pass	warn	Sanger / Illumina 1.9	37105551.0	SRR1296789.trim_1P.fq	pass	27-50	pass
SRR1296790.trim_1P	49.99915003726117	warn	pass	pass	pass	warn	pass	Conventional base calls	0.0	68.30941691017371	pass	64.0	fail	pass	warn	Sanger / Illumina 1.9	14359453.0	SRR1296790.trim_1P.fq	pass	27-50	pass
SRR1296791.trim_1P	49.99913119534684	warn	pass	pass	pass	warn	pass	Conventional base calls	0.0	64.70256861226797	pass	65.0	fail	pass	warn	Sanger / Illumina 1.9	18650913.0	SRR1296791.trim_1P.fq	pass	27-50	pass
SRR1296792.trim_1P	49.999133141945315	warn	pass	pass	pass	warn	pass	Conventional base calls	0.0	59.252250362080936	pass	64.0	fail	pass	warn	Sanger / Illumina 1.9	19511845.0	SRR1296792.trim_1P.fq	pass	27-50	pass
SRR1296793.trim_1P	49.99983188485294	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	79.2235360126318	pass	61.0	fail	pass	warn	Sanger / Illumina 1.9	23109161.0	SRR1296793.trim_1P.fq	pass	36-50	warn
SRR1296794.trim_1P	49.99982795406549	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	78.89747443779851	pass	61.0	fail	pass	warn	Sanger / Illumina 1.9	22831112.0	SRR1296794.trim_1P.fq	pass	36-50	warn
SRR1296795.trim_1P	49.99862885618125	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	39.44760624479581	pass	48.0	fail	pass	warn	Sanger / Illumina 1.9	25273060.0	SRR1296795.trim_1P.fq	pass	27-50	pass
SRR1296796.trim_1P	49.999840329344615	fail	pass	pass	pass	pass	pass	Conventional base calls	0.0	77.06769074744231	pass	60.0	fail	pass	warn	Sanger / Illumina 1.9	24487906.0	SRR1296796.trim_1P.fq	pass	36-50	warn
SRR1296797.trim_1P	49.99869705063313	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	45.107013810161135	pass	53.0	fail	pass	warn	Sanger / Illumina 1.9	17339891.0	SRR1296797.trim_1P.fq	pass	25-50	warn
SRR1296798.trim_1P	49.9987055222393	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	45.07037468285773	pass	52.0	fail	pass	warn	Sanger / Illumina 1.9	17671219.0	SRR1296798.trim_1P.fq	pass	25-50	warn
SRR1296799.trim_1P	49.999101790700614	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	34.68785042680307	pass	51.0	fail	pass	warn	Sanger / Illumina 1.9	40556249.0	SRR1296799.trim_1P.fq	pass	30-50	pass
SRR1296800.trim_1P	49.99939979561244	warn	pass	pass	pass	fail	pass	Conventional base calls	0.0	39.744578720579824	pass	48.0	fail	pass	warn	Sanger / Illumina 1.9	28861835.0	SRR1296800.trim_1P.fq	pass	34-50	warn
SRR1296801.trim_1P	49.999400542953886	warn	pass	pass	pass	fail	pass	Conventional base calls	0.0	40.68513465997724	pass	47.0	fail	pass	warn	Sanger / Illumina 1.9	30791197.0	SRR1296801.trim_1P.fq	pass	25-50	warn
SRR1296802.trim_1P	49.99999260981672	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	53.69445884008536	pass	54.0	fail	pass	warn	Sanger / Illumina 1.9	19620623.0	SRR1296802.trim_1P.fq	pass	49-50	pass
SRR1296803.trim_1P	49.998866233253565	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	47.70372524593078	warn	62.0	fail	pass	warn	Sanger / Illumina 1.9	21489429.0	SRR1296803.trim_1P.fq	pass	35-50	pass
SRR1296804.trim_1P	49.9985475674713	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	61.03042623800028	pass	52.0	fail	pass	warn	Sanger / Illumina 1.9	22060233.0	SRR1296804.trim_1P.fq	pass	25-50	pass
SRR1296805.trim_1P	49.9988884070973	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	50.729619097650904	pass	52.0	fail	pass	warn	Sanger / Illumina 1.9	32127769.0	SRR1296805.trim_1P.fq	pass	26-50	fail
SRR1296806.trim_1P	49.99850251389398	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	56.94866060272531	pass	52.0	fail	pass	warn	Sanger / Illumina 1.9	25888721.0	SRR1296806.trim_1P.fq	pass	25-50	pass
SRR1296807.trim_1P	49.99996667105341	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	47.29613763104457	pass	51.0	fail	pass	warn	Sanger / Illumina 1.9	29763917.0	SRR1296807.trim_1P.fq	pass	25-50	warn
SRR1296808.trim_1P	49.99996392840864	fail	pass	pass	pass	fail	warn	Conventional base calls	0.0	26.28561083146931	pass	45.0	fail	pass	warn	Sanger / Illumina 1.9	30328576.0	SRR1296808.trim_1P.fq	pass	46-50	warn
SRR1296809.trim_1P	49.99996556724246	fail	pass	pass	pass	fail	warn	Conventional base calls	0.0	18.756582315187472	warn	46.0	fail	pass	warn	Sanger / Illumina 1.9	29826249.0	SRR1296809.trim_1P.fq	pass	46-50	warn
SRR1296810.trim_1P	49.999792026986	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	61.944185242833726	pass	65.0	fail	pass	warn	Sanger / Illumina 1.9	21627806.0	SRR1296810.trim_1P.fq	pass	36-50	warn
SRR1296811.trim_1P	49.99874765298784	fail	pass	pass	pass	fail	warn	Conventional base calls	0.0	30.181755445724036	warn	39.0	fail	pass	warn	Sanger / Illumina 1.9	36781339.0	SRR1296811.trim_1P.fq	pass	34-50	pass
SRR1296812.trim_1P	49.999562010568454	fail	pass	pass	pass	fail	warn	Conventional base calls	0.0	34.18668447782351	pass	54.0	fail	pass	warn	Sanger / Illumina 1.9	32340963.0	SRR1296812.trim_1P.fq	pass	25-50	warn
SRR1296813.trim_1P	49.99955276657876	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	47.31634081676987	warn	48.0	fail	pass	warn	Sanger / Illumina 1.9	40632026.0	SRR1296813.trim_1P.fq	pass	25-50	warn
SRR1296814.trim_1P	49.999991907560286	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	37.35432537889742	warn	48.0	fail	pass	warn	Sanger / Illumina 1.9	26938724.0	SRR1296814.trim_1P.fq	pass	25-50	pass
SRR1296815.trim_1P	49.99697900233899	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	53.66034630914578	pass	40.0	fail	pass	warn	Sanger / Illumina 1.9	12476342.0	SRR1296815.trim_1P.fq	pass	42-50	pass
SRR1296816.trim_1P	49.99700848793768	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	41.33271544154429	pass	40.0	fail	pass	warn	Sanger / Illumina 1.9	29379457.0	SRR1296816.trim_1P.fq	pass	42-50	pass
SRR1296817.trim_1P	49.996879844370824	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	56.97265958219965	pass	40.0	fail	pass	warn	Sanger / Illumina 1.9	9059484.0	SRR1296817.trim_1P.fq	pass	25-50	pass
SRR1296818.trim_1P	49.99692958421797	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	46.26494087254287	pass	40.0	fail	pass	warn	Sanger / Illumina 1.9	13794223.0	SRR1296818.trim_1P.fq	pass	25-50	pass
SRR1296819.trim_1P	49.99999283095279	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	54.88378626177046	pass	42.0	fail	pass	warn	Sanger / Illumina 1.9	27897710.0	SRR1296819.trim_1P.fq	pass	49-50	pass
SRR1296820.trim_1P	49.99986700373148	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	49.24241502280737	pass	42.0	fail	pass	warn	Sanger / Illumina 1.9	26489465.0	SRR1296820.trim_1P.fq	pass	49-50	fail
SRR1296821.trim_1P	49.99987343737473	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	39.98714248003462	pass	48.0	fail	pass	warn	Sanger / Illumina 1.9	27354047.0	SRR1296821.trim_1P.fq	pass	49-50	fail
SRR1296822.trim_1P	49.99987077636808	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	35.33457189277788	pass	56.0	fail	pass	warn	Sanger / Illumina 1.9	27185430.0	SRR1296822.trim_1P.fq	pass	49-50	fail
SRR1296823.trim_1P	49.998797873883596	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	47.33700209215379	pass	43.0	fail	pass	warn	Sanger / Illumina 1.9	36027002.0	SRR1296823.trim_1P.fq	pass	34-50	pass
SRR1296824.trim_1P	49.9998692122899	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	41.94722938344564	pass	43.0	fail	pass	warn	Sanger / Illumina 1.9	25782239.0	SRR1296824.trim_1P.fq	pass	49-50	fail
SRR1296825.trim_1P	49.998582411233876	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	48.58195656743679	pass	50.0	fail	pass	warn	Sanger / Illumina 1.9	24546611.0	SRR1296825.trim_1P.fq	pass	25-50	pass
SRR1296826.trim_1P	49.999596490026306	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	43.09690163601692	pass	50.0	fail	pass	warn	Sanger / Illumina 1.9	22554585.0	SRR1296826.trim_1P.fq	pass	28-50	warn
SRR1296827.trim_1P	49.999690314579226	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	37.191690495613514	pass	50.0	fail	pass	warn	Sanger / Illumina 1.9	21647774.0	SRR1296827.trim_1P.fq	pass	30-50	pass
SRR1296828.trim_1P	49.999704860189276	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	37.25674169502719	pass	50.0	fail	pass	warn	Sanger / Illumina 1.9	24652723.0	SRR1296828.trim_1P.fq	pass	25-50	pass
SRR1296829.trim_1P	49.99969440996115	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	29.45621168915452	pass	47.0	fail	pass	warn	Sanger / Illumina 1.9	45066914.0	SRR1296829.trim_1P.fq	pass	25-50	pass
SRR1296830.trim_1P	49.99968608613051	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	38.86206302582021	pass	47.0	fail	pass	warn	Sanger / Illumina 1.9	21776674.0	SRR1296830.trim_1P.fq	pass	25-50	pass
SRR1296831.trim_1P	49.99945418259419	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	37.093073109098285	pass	47.0	fail	pass	warn	Sanger / Illumina 1.9	24411094.0	SRR1296831.trim_1P.fq	pass	27-50	pass
SRR1296832.trim_1P	49.99945744884187	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	32.904712680898406	pass	47.0	fail	pass	warn	Sanger / Illumina 1.9	28843363.0	SRR1296832.trim_1P.fq	pass	27-50	pass
SRR1296833.trim_1P	49.99943262640465	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	44.391133530843646	pass	40.0	fail	pass	warn	Sanger / Illumina 1.9	33059346.0	SRR1296833.trim_1P.fq	pass	27-50	pass
SRR1296834.trim_1P	49.999423249758955	fail	pass	pass	pass	warn	pass	Conventional base calls	0.0	50.5607469373647	pass	40.0	fail	pass	warn	Sanger / Illumina 1.9	26590366.0	SRR1296834.trim_1P.fq	pass	27-50	pass
SRR1296835.trim_1P	49.99897408177189	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	47.23043751106978	pass	40.0	fail	pass	warn	Sanger / Illumina 1.9	20771636.0	SRR1296835.trim_1P.fq	pass	25-50	pass
SRR1296836.trim_1P	49.999427814955276	fail	pass	pass	pass	fail	pass	Conventional base calls	0.0	49.41925525266767	pass	40.0	fail	pass	warn	Sanger / Illumina 1.9	30848412.0	SRR1296836.trim_1P.fq	pass	27-50	pass
